IndividualNum,FID,IID,PAT,MAT,SEX,PHENOTYPE,seed01,seed02,FeatureNum,SizeNum,OutliersFraction,Class_true,pred_lof,pred_KNN_lar,pred_IForest,pred_vote
82,DNXE,DNXE5,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
81,DNXE,DNXE4,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
80,DNXE,DNXE3,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
79,DNXE,DNXE2,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
78,DNXE,DNXE1,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
88,DNXE,DNXE11,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
99,DNXE,DNXE22,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
86,DNXE,DNXE9,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
101,DNXE,DNXE24,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
105,DNXE,DNXE28,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
104,DNXE,DNXE27,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
100,DNXE,DNXE23,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
102,DNXE,DNXE25,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
103,DNXE,DNXE26,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
169,DUR,DUR4_6_J,0,0,2,11,6331,16331,2,4,0.15,1,-1,-1,-1,-1
176,DUR,DUR4_14_J,0,0,1,11,6331,16331,2,4,0.15,1,-1,-1,-1,-1
183,DUR,DUR4_24_J,0,0,1,11,6331,16331,2,4,0.15,1,-1,-1,-1,-1
127,DUR,DUR2_8_W,0,0,0,-9,6331,16331,2,4,0.15,1,-1,-1,-1,-1
156,DUR,DUR3_23_W,0,0,0,-9,6331,16331,2,4,0.15,1,-1,-1,-1,-1
155,DUR,DUR3_22_W,0,0,0,-9,6331,16331,2,4,0.15,1,-1,-1,-1,-1
151,DUR,DUR3_18_W,0,0,0,-9,6331,16331,2,4,0.15,1,-1,-1,-1,-1
147,DUR,DUR3_14_W,0,0,0,-9,6331,16331,2,4,0.15,1,-1,-1,-1,-1
144,DUR,DUR2_43_W,0,0,0,-9,6331,16331,2,4,0.15,1,-1,-1,-1,-1
142,DUR,DUR2_41_W,0,0,0,-9,6331,16331,2,4,0.15,1,-1,-1,-1,-1
137,DUR,DUR2_31_W,0,0,0,-9,6331,16331,2,4,0.15,1,-1,-1,-1,-1
159,DUR,DUR3_26_W,0,0,0,-9,6331,16331,2,4,0.15,1,-1,-1,-1,-1
122,DUR,DUR1_17_W,0,0,0,-9,6331,16331,2,4,0.15,1,-1,-1,-1,-1
162,DUR,DUR3_30_W,0,0,0,-9,6331,16331,2,4,0.15,1,-1,-1,-1,-1
168,DUR,DUR4_5_J,0,0,2,11,6331,16331,2,4,0.15,1,-1,-1,-1,-1
185,ESCM,ESCM_1_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
186,ESCM,ESCM_2_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
187,ESCM,ESCM_3_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
188,ESCM,ESCM_5_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
197,ESCM,ESCM_18_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
189,ESCM,ESCM_6_W,0,0,0,-9,6331,16331,2,4,0.15,-1,1,1,1,1
