TableNum,TestNum,TestLabel,TestID,Seed01,Seed02,TestScale,OutliersFraction,KFold,FeatureMethod,SizeNum,FeatureNum,AD_True,AD_LOF,AD_KNN_lar,AD_IForest,AD_Vote,KNN,RF,SVM,nnet,NB,C50,MLR,Stacking01,Stacking02,MetaModel01,MetaModel02,KNN_Time,NB_Time,RF_Time,SVM_Time,C50_Time,nnet_Time,MLR_Time,Stacking01_Time,Stacking02_Time
1,144,DUR,DUR2_43_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DUR,MGZ,WZS,MGZ,MGZ,MGZ,WZS,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,147,DUR,DUR3_14_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DHB,DHB,DHB,DHB,DUR,MGZ,DHB,PIT,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,151,DUR,DUR3_18_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DHB,DHB,DHB,DHB,DUR,MGZ,DHB,PIT,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,155,DUR,DUR3_22_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DUR,MGZ,WZS,MGZ,MGZ,MGZ,WZS,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,156,DUR,DUR3_23_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DUR,MGZ,WZS,MGZ,MGZ,MGZ,WZS,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,159,DUR,DUR3_26_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,LDR,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,162,DUR,DUR3_30_W,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DUR,MGZ,WZS,MGZ,MGZ,MGZ,WZS,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,168,DUR,DUR4_5_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,DHB,GLGS,GLGS,PIT,GLGS,DHB,DHB,DHB,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,169,DUR,DUR4_6_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,GLGS,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,176,DUR,DUR4_14_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,-1,-1,-1,DHB,GLGS,GLGS,PIT,GLGS,DHB,DHB,PIT,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,183,DUR,DUR4_24_J,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,GLGS,LDR,LDR,LDR,LDR,LDR,LDR,MGZ,DUR,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
1,206,GLGS,GLGS2,6331,16331,0.2,0.15,4,blank,4,2,1,1,1,1,1,DUR,MGZ,WZS,MGZ,MGZ,MGZ,WZS,MGZ,GLGS,RF,RF,0.0300000000006548,0.459999999999127,0.0600000000013097,0.340000000000146,0.0100000000002183,0.0399999999990541,0.0200000000004366,3.94000000000051,19.5900000000001
